node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
USSTripoli,1,7,528.0,7,528.0,0,0.0,1.0,1.0,5,95,132,0.0032607688744789253,0.8214285714285714,0.5714285714285714,0.8506944444444444,0.0,0.00031541961447789646,0.002022058823529412
ourocean2022,1,1,45.0,1,45.0,0,0.0,1.0,1.0,1,47,132,0.0002779064381658175,1.0,0.0,0.0,0.0,4.740578186324118e-5,0.002022058823529412
VMFA22,1,5,300.0,5,300.0,0,0.0,1.0,1.0,5,86,132,0.0018527095877721167,1.0,0.6666666666666666,1.0,0.0,0.00024604246586368284,0.002022058823529412
USSAsheville,2,3,132.0,2,88.0,1,44.0,0.6666666666666666,0.6666666666666666,3,72,133,0.0008151922186197313,1.0,0.5,1.0,0.0,0.0015057655312201712,0.0020373774509803923
Forward,4,18,126.0,13,91.0,5,35.0,0.7222222222222222,0.7222222222222222,18,67,151,0.0007781380268642891,1.0,0.8947368421052632,1.0,0.00039669115627027907,0.0,0.0023131127450980392
JMSDF70th,1,3,99.0,3,99.0,0,0.0,1.0,1.0,3,58,139,0.0006113941639647985,1.0,0.5,1.0,0.0,9.953338645241061e-5,0.0021292892156862743
Okinawa,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
Europe,2,5,120.0,5,120.0,0,0.0,1.0,1.0,5,64,82,0.0007410838351088467,1.0,0.6666666666666666,1.0,0.0015251920333473334,0.0,0.0012561274509803922
Marine,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
Squadron,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
LightningII,4,18,148.0,13,109.0,5,39.0,0.7222222222222222,0.7364864864864865,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0006210137857725062,0.0,0.0023131127450980392
